,date,Nvidia,Intel,AMD
2025-02-19,2025-02-19,139.23,25.72,114.69
2025-01-31,2025-01-31,120.07,19.43,115.95
2024-12-31,2024-12-31,134.29,20.05,120.79
2024-11-29,2024-11-29,138.25,24.05,137.18
2024-10-31,2024-10-31,132.76,21.52,144.07
2024-09-30,2024-09-30,121.44,23.46,164.08
2024-08-30,2024-08-30,119.37,22.04,148.56
2024-07-31,2024-07-31,117.02,30.74,144.48
2024-06-28,2024-06-28,123.54,30.97,162.21
2024-05-31,2024-05-31,1096.33,30.85,166.9
2024-04-30,2024-04-30,864.02,30.47,158.38
2024-03-28,2024-03-28,903.56,44.17,180.49
2024-02-29,2024-02-29,791.12,43.05,192.53
2024-01-31,2024-01-31,615.27,43.08,167.69
2023-12-29,2023-12-29,495.22,50.25,147.41
2023-11-30,2023-11-30,467.7,44.7,121.16
2023-10-31,2023-10-31,407.8,36.5,98.5
2023-09-29,2023-09-29,434.99,35.55,102.82
2023-08-31,2023-08-31,493.55,35.14,105.72
2023-07-31,2023-07-31,467.29,35.77,114.4
2023-06-30,2023-06-30,423.02,33.44,113.91
2023-05-31,2023-05-31,378.34,31.44,118.21
2023-04-28,2023-04-28,277.49,31.06,89.37
2023-03-31,2023-03-31,277.77,32.67,98.01
2023-02-28,2023-02-28,232.16,24.93,78.58
2023-01-31,2023-01-31,195.37,28.26,75.15
2022-12-30,2022-12-30,146.14,26.43,64.77
2022-11-30,2022-11-30,169.23,30.07,77.63
2022-10-31,2022-10-31,134.97,28.43,60.06
2022-09-30,2022-09-30,121.39,25.77,63.36
2022-08-31,2022-08-31,150.94,31.92,84.87
2022-07-29,2022-07-29,181.63,36.31,94.47
2022-06-30,2022-06-30,151.59,37.41,76.47
2022-05-31,2022-05-31,186.72,44.42,101.86
2022-04-29,2022-04-29,185.47,43.59,85.52
2022-03-31,2022-03-31,272.86,49.56,109.34
2022-02-28,2022-02-28,243.85,47.7,123.34
2022-01-31,2022-01-31,244.86,48.82,114.25
2021-12-31,2021-12-31,294.11,51.5,143.9
2021-11-30,2021-11-30,326.76,49.2,158.37
2021-10-29,2021-10-29,255.67,49.0,120.23
2021-09-30,2021-09-30,207.16,53.28,102.9
